"","GDP..PPP..constant.2011.international...","Employment.in.industry....of.total.employment.","Employment.in.agriculture....of.total.employment.","Total.greenhouse.gas.emissions..kt.of.CO2.equivalent.","Renewable.energy.consumption....of.total.final.energy.consumption.","Fossil.fuel.energy.consumption....of.total.","Energy.use..kg.of.oil.equivalent.per.capita.","CO2.emissions..metric.tons.per.capita.","Population..total","ProtectedAreas","CountryNames","Paris_Agreement_Code","Polityxconst","UNmentions"
"30",114151012109.458,32.1666673024495,6.53333330154419,69611.5440665323,14.4648031459362,73.4623235064042,2515.44522276932,6.27410689311447,7349938.33333333,31.46,"Bulgaria",1,7,9
"31",23710148612.2303,15.530724113945,34.1155723728086,43658.8205966425,72.6719444177483,25.9811855161753,291.121473005723,0.140420060583802,16109910,15.47,"Burkina Faso",2,6,12
"32",6977067194.45932,13.1443364832978,42.065889651887,6149.11631021609,82.6598948293014,21.1669018791693,977.84242723577,0.0250298213498819,9791946.66666667,6.89,"Burundi",1,4,7
"34",38736858393.4011,14.3585677327186,45.1410999147689,126836.848145464,72.7294705230698,29.1959228558838,379.513863064189,0.357898451234397,14596313.3333333,20.61,"Cambodia",1,5,41
"35",55328484427.0391,13.4004460559837,45.538998334706,100377.322090075,78.3851855613676,28.4150087248717,325.817684884802,0.295106802021506,21123073,10.65,"Cameroon",2,2,1
"36",1421280897798.55,19.8333333333333,2.16666666666667,941561.170727198,20.6486665457332,73.6116423440857,7378.37583650439,14.2751453016015,34366510,6.24,"Canada",2,7,2
"38",4076675250.09073,15.4864529431783,33.4854311529274,513288.761209527,67.8639323714611,33.6254929166282,77.0003475518401,0.0614707320207924,4531792,18.09,"Central African Republic",2,0,8
"39",23575985988.9095,15.6684068379807,40.6800490870977,109463.357939087,72.2445816002676,29.5219315695373,730.989233841461,0.0433248475765195,12303452.3333333,17.78,"Chad",1,2,6
"41",348532184798.273,23.5,10.6333332061768,117544.856534998,28.6540320978,74.7750771870818,1968.87419197542,4.50331972607728,17201596.6666667,6.85,"Chile",1,7,4
"42",13768246321359.2,44.9537540766868,4.94339512852751,11900927.0692167,18.4860520717385,87.8684007240765,1973.08552995016,7.06941042567247,1344176666.66667,15.61,"China",2,3,8
"43",529710455297.848,20.2666664123535,18.0666669209798,170102.404623829,26.8745706878012,76.0853512979597,675.597995830283,1.67052885249203,46401855,17.37,"Colombia",1,6,4
"44",966484033.000427,16.8964135538452,29.6184171547489,554.059502322431,50.7489457173995,48.5267899148146,171.279473693069,0.197870453556688,716109.333333333,2.38,"Comoros",1,7,11
"47",60307634176.8311,19.5999997456868,14.1666666666667,11984.4630376081,40.4796700419035,47.8700121858486,1016.5828320502,1.67220153171494,4599969.33333333,3.05,"Costa Rica",2,7,9
"49",87498576639.2165,28.3666667938232,11.9666668574015,30682.4019984446,18.8720567288257,80.9016756927049,1921.80154719419,4.52313980863565,4321987,23.69,"Croatia",1,7,8
"50",214501498581.645,17.7666670481364,19.1666666666667,51123.911633484,18.5679402631697,87.0729724611312,984.177684034939,3.25313599749079,11324778,5.03,"Cuba",1,3,8
"52",27798074221.803,20.7000001271566,2.66666666666666,7549.10872315368,7.37694370024555,94.8167578395339,2101.85956458245,6.58708188660234,1116544,2.03,"Cyprus",1,7,5
"53",297401152790.618,38.466667175293,3.03333330154419,143092.529704835,10.2184981591341,78.3124906258587,4123.11260595472,10.1502481682648,10493761,21.11,"Czech Republic",1,7,4
"54",240309007364.213,19.8333333333333,2.30000003178914,58599.4528147009,24.2667888682112,74.5947518077802,3279.63682434864,7.40482195822681,5569942.33333333,17.95,"Denmark",2,7,19
"55",2347130062.85456,21.4722909367723,25.3387746453438,2699.25296529119,37.801071508535,59.4678757236161,387.293089820649,0.596796658331367,841891,1.05,"Djibouti",2,4,6
"56",724496746.748542,18.4390441322359,11.2432484438503,217.177512274552,22.1922262723094,75.6965948887178,1055.0560340817,1.88274136153089,71418,0.55,"Dominica",2,6,42
"57",114021598330.206,16.9000002543132,13.6333332061767,32547.316909879,13.2341282915911,87.0908804703465,748.000037741037,2.20983828479973,10026719.6666667,11.2,"Dominican Republic",1,6,5
"58",149834350197.599,18,28.0999997456868,51553.6447033367,12.840910817568,88.8965164981258,932.518324475991,2.59532908951043,15177155,15.43,"Ecuador",1,4,14
"60",45954314661.6215,21.2333329518636,21.1333332061767,12283.4166658416,34.0526187252956,46.9102420284036,709.107389883594,1.11173894654266,6055249,2.05,"El Salvador",1,6,7
"61",27950354257.9081,21.5234752514247,12.981331870968,6238.79601095501,27.8941465120673,68.461164635846,2902.7317776606,7.65712006163106,751119,2.12,"Equatorial Guinea",1,1,3
"62",-104322255204.598,12.0504395349373,43.0828505945011,4911.85129957678,80.8162805937518,21.7962508504629,488.647605137082,0.14300054194013,9621291.5888934,3.06,"Eritrea",1,2,0
"63",31600831504.3697,31.8999996185303,4.19999996821086,23479.5837221177,25.0073254633978,19.6708617572704,4211.61804895832,13.6468074713052,1327203.33333333,19.85,"Estonia",2,7,7
