"","Country.code","economic","capacity","ecosystems","exposure","food","governance","habitat","health","infrastructure","sensitivity","social","water"
"20","BTN","0.447477435",2.59427775,2.39189956,2.754724745,3.188149925,2.763619435,2.58054998,3.15387115,1.613362205,2.737692695,0.944121365,1.647200615
"21","BOL","0.384368087",2.896805995,2.359488415,2.595106765,2.35733788,1.76056992,2.939876055,2.226870225,1.277927215,1.702466905,1.2044519,2.60691408
"22","BIH","0.424301414",2.455206985,3.06237313,1.93426268,2.380447555,2.15939916,1.548822565,0.72682635,0.914518675,2.07105257,1.65597202,1.99681299
"23","BWA","0.572483797",2.911314465,1.57621115,2.667284005,3.358717685,3.286035875,2.403209325,1.98364896,2.043452,2.5108275,0.8534745,3.3853312
"24","BRA","0.497187608",1.69236381,2.48407833,2.4601094,2.05605417,2.39732162,2.332673635,1.07345111,0.783362595,0.991659705,1.218058765,1.558645995
"25","BRN","0.563058083",2.947967975,1.43693652,2.397689115,3.369659545,3.34822885,2.08036761,0.583030035,1.504893615,1.967870545,1.751354385,3.152365625
"26","BGR","0.605002132",1.48992875,2.054078755,2.212395515,1.74354428,2.636564145,1.87396145,0.66187936,1.08485657,1.535556295,2.504024885,2.3344206
"27","BFA","0.310566458",3.81013035,2.206872225,2.529167855,4.03849574,2.190334075,3.12244771,3.32124236,2.224340925,2.449516395,0.75394461,2.10973403
"28","BDI","0.312910259",3.49243894,3.342905925,3.08414326,4.33375514,1.311895315,4.038314605,3.303095195,2.63379377,3.559067835,0.91851805,2.39801274
"29","KHM","0.398415191",3.347828195,2.23832621,1.886237925,3.28206056,1.748907425,2.486436865,2.76299843,2.43198255,2.66528654,1.116116105,3.0503426
"30","CMR","0.310537729",3.706661045,2.638452765,2.49456861,3.4108902,1.622337,3.34757805,2.303354075,1.018191605,1.621549735,1.15945812,2.263457355
"31","CAN","0.773176172",1.60337536,2.213248805,1.86135428,1.53713218,4.104284245,1.651941065,0.19969567,0.82265982,0.795859155,3.451389065,0.719304695
